0,1,2,3
COMPLAINTS,"CATEGORY OF
COMPLAINT",REASONS,REMEDIAL MEASURES
"Declined
Transactions","Declined Transactions
on International ATMs
& POS/WEB","Dynamic currency
conversion transactions
(Naira billing)
Reduced monthly
international limits on the
Naira Cards
Insufficient funds
Restriction on
international ATM
withdrawals",Awareness
"Complaints on
delayed debits &
double debits for
Domestic POS &
Web Transactions","Delayed Debits &
Double Debits","System glitch/ Technical
error from Third party
processors","Continuous engagement with
Third party processors to
ensure adequate and effective
maintenance of their systems
to prevent such incidences.
Escalation to the relevant
department of the regulators
(CBN) to assist to check the
activities of
processors/switches
responsible for persistent
incidents."
Dispense Error,"ATM and POS /WEB
transactions (Value
not received for
transactions)","This occurs when an ATM
attempts to dispense cash
after an account has been
debited but fails due to
network failure.
This also occurs when a
customer’s account has
been debited for a certain
amount for goods/services
on POS/WEB terminals,
but value is not received","Strict adherence to resolution
of customers’ complaints
within stipulated SLA .
Proactive reversal of failed
transactions that are not auto
reversed.
Constant follow up with
relevant stakeholders (e.g.
switches and TPPs) to address
any identified cause(s) of
delayed refund."
