0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
In thousands of Nigerian Naira,,,Asset under Management,,,,,,,,,Interest Held by the Group,,,,,
,Investment funds,,,Sep-25,,,Dec-24,,,,,,Sep-25,,,Dec-24,
,,,"187,660,103",,,"47,886,680",,,,,,,,,,,
,Guaranty Trust Investment Fund 724,,,"701,491",,,"161,273",,,,,,"179,252",,,"150,000",
,,,"12,841,849",,,"11,846,892",,,,,,,,,,,
,Guaranty Trust Balanced Fund,,,"4,979,742",,,"3,106,074",,,,,,-,,,,-
,Guaranty Trust Dollar Fund,,,"109,811,204",,,"77,300,768",,,,,,"213,522",,,"134,609",
,Guaranty Trust Equity Income Fund,,,"2,111,996",,,"618,453",,,,,,"93,519",,,"53,524",
,,,"318,106,385",,,"140,920,142",,,,,,,,,,,
